A,,,,,
B,,LEBT1-LebanonTN,OHHT1-OLD_HICKORY,SMLK2-CumberlandR-SmithlandKY,KINT1-HarpethR-KingstonSpringsTN
C,UTC,Precip-Inc,Precip-Inc,Precip-Inc,Precip-Inc
E,,,,,
F,,dcp-rev,dcp-rev,dcp-rev,dcp-rev
Units,,in,in,in,in
Type,,PER-CUM,PER-CUM,PER-CUM,PER-CUM
103,02May2020  2200,0.00000,0.00000,0.00000,0.000
104,02May2020  2230,0.00000,0.00000,0.00000,0.000
105,02May2020  2300,0.00000,0.00000,0.00000,0.000
106,02May2020  2330,0.00000,0.00000,0.00000,0.000
107,03May2020  0000,0.00000,0.00000,0.00000,0.000
108,03May2020  0030,0.00000,0.00000,0.00000,0.000
109,03May2020  0100,0.00000,0.00000,0.00000,0.000
110,03May2020  0130,0.00000,0.00000,0.00000,0.000
111,03May2020  0200,0.00000,0.00000,0.00000,0.000
112,03May2020  0230,0.00000,0.00000,0.00000,0.000
113,03May2020  0300,0.00000,0.00000,0.00000,0.000
114,03May2020  0330,0.00000,0.00000,0.00000,0.000
115,03May2020  0400,0.00000,0.00000,0.00000,0.000
116,03May2020  0430,0.00000,0.00000,0.00000,0.000
117,03May2020  0500,0.00000,0.00000,0.00000,0.000
118,03May2020  0530,0.00000,0.00000,0.00000,0.000
119,03May2020  0600,0.00000,0.00000,0.00000,0.000
120,03May2020  0630,0.00000,0.00000,0.00000,0.000
121,03May2020  0700,0.00000,0.00000,0.00000,0.000
122,03May2020  0730,0.00000,0.00000,0.00000,0.000
123,03May2020  0800,0.00000,0.00000,0.00000,0.000
124,03May2020  0830,0.00000,0.00000,0.00000,0.000
125,03May2020  0900,0.00000,0.00000,0.00000,0.000
126,03May2020  0930,0.00000,0.00000,0.00000,0.000
127,03May2020  1000,0.00000,0.00000,0.00000,0.000
128,03May2020  1030,0.00000,0.00000,0.00000,0.000
129,03May2020  1100,0.00000,0.00000,0.00000,0.000
130,03May2020  1130,0.00000,0.00000,0.00000,0.000
131,03May2020  1200,0.00000,0.00000,0.00000,0.000
132,03May2020  1230,0.00000,0.00000,0.00000,0.000
133,03May2020  1300,0.00000,0.00000,0.00000,0.000
134,03May2020  1330,0.00000,0.00000,0.00000,0.000
135,03May2020  1400,0.00000,0.00000,0.00000,0.000
136,03May2020  1430,0.00000,0.00000,0.00000,0.000
137,03May2020  1500,0.00000,0.00000,0.00000,0.000
138,03May2020  1530,0.00000,0.00000,0.00000,0.000
139,03May2020  1600,0.00000,0.00000,0.00000,0.000
140,03May2020  1630,0.00000,0.00000,0.00000,0.000
141,03May2020  1700,0.00000,0.00000,0.00000,0.000
142,03May2020  1730,0.00000,0.00000,0.00000,0.000
143,03May2020  1800,0.00000,0.00000,0.00000,0.000
144,03May2020  1830,0.00000,0.00000,0.00000,0.000
145,03May2020  1900,0.00000,0.00000,0.00000,0.000
146,03May2020  1930,0.00000,0.00000,0.00000,0.000
147,03May2020  2000,0.00000,0.00000,0.00000,0.000
148,03May2020  2030,0.00000,0.00000,0.00000,0.000
149,03May2020  2100,0.00000,0.00000,0.00000,0.000
150,03May2020  2130,0.00000,0.16000,0.00000,0.190
151,03May2020  2200,0.00000,0.21000,0.00000,0.090
152,03May2020  2230,0.46000,0.10000,0.00000,0.110
153,03May2020  2300,0.11000,0.03000,0.00000,0.030
154,03May2020  2330,0.04000,0.01000,0.00000,0.000
155,04May2020  0000,0.00000,0.00000,0.00000,0.000
156,04May2020  0030,0.00000,0.00000,0.00000,0.000
157,04May2020  0100,0.00000,0.00000,0.00000,0.000
158,04May2020  0130,0.01000,0.00000,0.00000,0.000
159,04May2020  0200,0.00000,0.00000,0.00000,0.000
160,04May2020  0230,0.00000,0.00000,0.00000,0.000
161,04May2020  0300,0.00000,0.00000,0.00000,0.000
162,04May2020  0330,0.00000,0.00000,0.00000,0.000
163,04May2020  0400,0.00000,0.00000,0.00000,0.000
164,04May2020  0430,0.00000,0.00000,0.00000,0.000
165,04May2020  0500,0.00000,0.00000,0.00000,0.000
166,04May2020  0530,0.00000,0.00000,0.00000,0.000
167,04May2020  0600,0.00000,0.00000,0.00000,0.000
168,04May2020  0630,0.00000,0.00000,0.00000,0.000
169,04May2020  0700,0.00000,0.00000,0.00000,0.000
170,04May2020  0730,0.00000,0.00000,0.00000,0.000
171,04May2020  0800,0.00000,0.00000,0.00000,0.020
172,04May2020  0830,0.00000,0.00000,0.00000,0.000
173,04May2020  0900,0.00000,0.00000,0.00000,0.000
174,04May2020  0930,0.00000,0.00000,0.00000,0.010
175,04May2020  1000,0.00000,0.00000,0.00000,0.000
176,04May2020  1030,0.00000,0.00000,0.00000,0.000
177,04May2020  1100,0.00000,0.00000,0.00000,0.000
178,04May2020  1130,0.00000,0.00000,0.00000,0.000
179,04May2020  1200,0.00000,0.00000,0.00000,0.000
180,04May2020  1230,0.00000,0.00000,0.00000,0.000
181,04May2020  1300,0.00000,0.00000,0.00000,0.000
182,04May2020  1330,0.00000,0.00000,0.00000,0.000
183,04May2020  1400,0.00000,0.00000,0.00000,0.000
184,04May2020  1430,0.00000,0.00000,0.00000,0.000
185,04May2020  1500,0.00000,0.00000,0.00000,0.000
186,04May2020  1530,0.00000,0.00000,0.00000,0.000
187,04May2020  1600,0.00000,0.00000,0.00000,0.000
188,04May2020  1630,0.00000,0.00000,0.00000,0.000
189,04May2020  1700,0.00000,0.00000,0.00000,0.000
190,04May2020  1730,0.00000,0.00000,0.00000,0.000
191,04May2020  1800,0.00000,0.00000,0.00000,0.000
192,04May2020  1830,0.00000,0.00000,0.00000,0.000
193,04May2020  1900,0.00000,0.00000,0.00000,0.000
194,04May2020  1930,0.00000,0.00000,0.00000,0.000
195,04May2020  2000,0.00000,0.00000,0.00000,0.000
196,04May2020  2030,0.00000,0.00000,0.00000,0.000
